# random QPEC   s p a r s e   data from matlab

param n := 500  ;
param m := 600  ;
param p := 500  ;

param:	 	A :=
	10     1      	   2.389069675649083
	58     1      	  -1.384580994669618
	88     1      	  -1.165356247297189
	152    1      	   0.982060557688615
	165    1      	  -2.499447166220959
	246    1      	  0.6626624933735759
	338    1      	  -3.840582244023952
	360    1      	  -1.359330638013468
	459    1      	   1.501826951979579
	478    1      	   1.724527894390993
	188    2      	-0.02856933513123971
	213    2      	 -0.9276751861570753
	242    2      	   3.598608348331697
	272    2      	  -2.984786293927947
	277    2      	   1.548606301447659
	327    2      	 -0.2866903302663428
	344    2      	  -1.344886480525549
	27     3      	  -3.009967486844383
	248    3      	  -0.894557429894133
	252    3      	  -1.960982619766603
	354    3      	 -0.5983691870227315
	369    3      	  0.6350894964463496
	386    3      	  -1.963472566550352
	415    3      	   -1.89381764358553
	451    3      	  -1.474247871653292
	486    3      	 -0.1755560767723043
	6      4      	  -2.711931105103312
	166    4      	  -1.758350922613568
	173    4      	  -3.571075275340618
	219    4      	   3.025698147260443
	233    4      	  -3.911100123036234
	247    4      	  -2.735787294216355
	278    4      	   3.970527801648959
	498    4      	 -0.2432897483200254
	35     5      	  0.9736167886171572
	44     5      	  -1.554107880943505
	184    5      	   1.364239371085651
	213    5      	  0.5631462580352773
	290    5      	   1.900485365605208
	293    5      	  -3.811369623901029
	306    5      	   1.271885643374121
	373    5      	   2.561431593523096
	392    5      	   1.576141371194339
	405    5      	  -2.044305904789039
	428    5      	  -1.666927157746128
	430    5      	  -1.509504171791256
	436    5      	 -0.7870727799772625
	126    6      	 -0.2532065083520516
	151    6      	  -1.810835740440914
	194    6      	  -3.503634430236944
	259    6      	   2.155888977533155
	286    6      	 -0.1981574055730166
	306    6      	  0.5820081888614261
	322    6      	  -3.514703951550044
	343    6      	   1.147600064588524
	1      7      	  -1.202431163379192
	60     7      	   3.060341734001572
	64     7      	  -2.365856225772694
	70     7      	  -2.898574616247124
	174    7      	   2.393125775453227
	175    7      	  -1.690787657020049
	184    7      	  0.7711098365351141
	202    7      	   2.691538571702101
	268    7      	   2.275946854742219
	308    7      	   3.514734465402893
	326    7      	  -2.064341763995747
	30     8      	  0.8032085806146307
	62     8      	  0.5461945517669404
	76     8      	-0.07728151049338372
	135    8      	  -1.071339073158493
	259    8      	   2.026045399730115
	262    8      	   2.503212611425301
	264    8      	  0.3228568715615463
	336    8      	  -1.505971870155061
	345    8      	   2.427347040934184
	383    8      	   2.805839679579176
	443    8      	   2.698413624753437
	68     9      	 0.02613208630407815
	75     9      	   -1.00943884114243
	118    9      	  -2.958412281683838
	119    9      	   1.945927596625838
	196    9      	   -1.60934274904865
	213    9      	  0.7991587989028348
	239    9      	  -3.012418962555201
	404    9      	   3.986110053950041
	431    9      	  -3.442682858296988
	455    9      	     3.2406038414876
	22     10     	   3.698264680662316
	65     10     	   2.806977092664212
	106    10     	  -0.140312286159169
	139    10     	  0.9747310639241391
	162    10     	 -0.3453787510960264
	166    10     	 -0.6039563662390952
	228    10     	  -2.315660677065915
	299    10     	     2.5393038795047
	313    10     	   3.283381517642821
	456    10     	   3.108925189407973
	484    10     	 -0.8068188451262279
	4      11     	  -3.123811564931558
	15     11     	   -3.35868396207629
	36     11     	  -3.048841490898673
	201    11     	  -3.635125189849699
	204    11     	 -0.1669387501510506
	302    11     	   2.565452660697257
	322    11     	  0.3706862984088648
	346    11     	   3.249140753992434
	392    11     	   2.208025663256657
	440    11     	  -3.965760726465732
	498    11     	 -0.9708000146647917
	10     12     	   1.094038634139131
	70     12     	    3.65642473458146
	111    12     	 -0.3078531754705369
	193    12     	   3.547897133765694
	376    12     	  -3.826691351750256
	382    12     	  0.9950756975426689
	434    12     	 -0.8965589911195257
	483    12     	  -2.205730463473932
	8      13     	  -2.640675134323851
	55     13     	  -3.066606089038125
	80     13     	  0.1106807981201827
	130    13     	   3.732611048842133
	156    13     	  -1.544985732783091
	167    13     	  0.7982171535483644
	234    13     	 -0.3142814209285572
	344    13     	  -3.507078192898574
	364    13     	  -2.587313442764484
	457    13     	   0.365622343665744
	482    13     	  -2.600266157928978
	492    13     	   3.892264228263993
	56     14     	   3.038694239705193
	79     14     	    1.81530025127125
	159    14     	 -0.2794560847242624
	184    14     	 0.04302264565742675
	218    14     	  -1.973736642847646
	237    14     	  -3.777304205939781
	269    14     	  -1.096333290029472
	387    14     	   2.523459020314486
	406    14     	   -3.66627813115077
	436    14     	   3.667786922151124
	475    14     	 -0.5236477016115781
	496    14     	  -2.693394537406692
	14     15     	    2.04360341189597
	239    15     	   2.274496334732741
	287    15     	   3.157019372636927
	294    15     	-0.03129297682610011
	352    15     	   2.584309014763827
	397    15     	   2.782513997881913
	409    15     	    1.07412100074539
	464    15     	   2.388300954545057
	498    15     	   3.764153528848735
	45     16     	 -0.4386670684621983
	82     16     	   1.988575833844289
	110    16     	  -1.208564611714596
	115    16     	   -3.36298733547469
	129    16     	  -3.110900077554816
	284    16     	  -3.713744245336272
	323    16     	  -3.522557511703371
	455    16     	  0.8287638820841741
	488    16     	  -3.866891734240061
	53     17     	  -2.189437269321381
	93     17     	  -2.205789103268548
	154    17     	 -0.3204712105544614
	206    17     	     1.5289100844082
	229    17     	  -0.255175689354155
	43     18     	   3.573635719518007
	117    18     	   1.743042721293421
	136    18     	  -2.768836549841257
	141    18     	 -0.3335927409741992
	164    18     	  0.5619050620877672
	176    18     	  0.9175990582060063
	225    18     	  -3.094798400576598
	262    18     	 -0.5056397749602981
	270    18     	  0.3028827217886612
	282    18     	  -1.412987983512221
	288    18     	 -0.3051178922434885
	304    18     	   3.878834076169335
	404    18     	   2.551676738332806
	405    18     	   1.350658210623385
	477    18     	   1.202695070394639
	62     19     	   3.891831546971496
	71     19     	  -2.349502078420251
	94     19     	  -3.405309520384907
	147    19     	   2.251457593520851
	184    19     	   3.081605564375224
	199    19     	   -1.87408827891298
	207    19     	 -0.4367927296258474
	241    19     	   2.076576265542105
	242    19     	   1.810510410838998
	287    19     	  -3.975404091167917
